id,country_name,iso_alpha3,capital,region,latitude,longitude,landlocked,area_km2,population
1,Algeria,DZA,Algiers,Northern Africa,28.033886,1.659626,FALSE,2381740,46814308
2,Angola,AGO,Luanda,Central Africa,-11.202692,17.873887,FALSE,1246700,37885849
3,Benin,BEN,Porto-Novo,Western Africa,9.30769,2.315834,FALSE,114760,14462724
4,Botswana,BWA,Gaborone,Southern Africa,-22.328474,24.684866,TRUE,581730,2521139
5,Burkina Faso,BFA,Ouagadougou,Western Africa,12.238333,-1.561593,TRUE,274200,23548781
6,Burundi,BDI,Gitega,Eastern Africa,-3.373056,29.918886,TRUE,27830,14047786
7,Cabo Verde,CPV,Praia,Western Africa,16.002082,-24.013197,FALSE,4030,524877
8,Cameroon,CMR,Yaounde,Central Africa,7.369722,12.354722,FALSE,475440,29123744
9,Central African Republic,CAF,Bangui,Central Africa,6.611111,20.939444,TRUE,622980,5330690
10,Chad,TCD,N'Djamena,Central Africa,15.454166,18.732207,TRUE,1284000,20299123
11,Comoros,COM,Moroni,Eastern Africa,-11.875001,43.872219,FALSE,1861,866628
12,Democratic Republic of the Congo,COD,Kinshasa,Central Africa,-4.038333,21.758664,FALSE,2344860,109276265
13,Republic of the Congo,COG,Brazzaville,Central Africa,-0.228021,15.827659,FALSE,342000,6332961
14,Cote d'Ivoire,CIV,Yamoussoukro,Western Africa,7.539989,-5.54708,FALSE,322460,31934230
15,Djibouti,DJI,Djibouti,Eastern Africa,11.825138,42.590275,FALSE,23200,1168722
16,Egypt,EGY,Cairo,Northern Africa,26.820553,30.802498,FALSE,1001450,116538258
17,Equatorial Guinea,GNQ,Ciudad de la Paz,Central Africa,1.650801,10.267895,FALSE,28050,1892516
18,Eritrea,ERI,Asmara,Eastern Africa,15.179384,39.782334,FALSE,121766,3535603
19,Eswatini,SWZ,Mbabane,Southern Africa,-26.522503,31.465866,TRUE,17360,1242822
20,Ethiopia,ETH,Addis Ababa,Eastern Africa,9.145,40.489673,TRUE,1136240,132059767
21,Gabon,GAB,Libreville,Central Africa,-0.803689,11.609444,FALSE,267670,2538952
22,Gambia,GMB,Banjul,Western Africa,13.443182,-15.310139,FALSE,11300,2759988
23,Ghana,GHA,Accra,Western Africa,7.946527,-1.023194,FALSE,238539,34427414
24,Guinea,GIN,Conakry,Western Africa,9.945587,-9.696645,FALSE,245860,14754785
25,Guinea-Bissau,GNB,Bissau,Western Africa,11.803749,-15.180413,FALSE,36130,2201352
26,Kenya,KEN,Nairobi,Eastern Africa,-0.023559,37.906193,FALSE,591969,56432944
27,Lesotho,LSO,Maseru,Southern Africa,-29.609988,28.233608,TRUE,30360,2337423
28,Liberia,LBR,Monrovia,Western Africa,6.428055,-9.429499,FALSE,111370,5612817
29,Libya,LBY,Tripoli,Northern Africa,26.3351,17.228331,FALSE,1759540,7381023
30,Madagascar,MDG,Antananarivo,Eastern Africa,-18.766947,46.869107,FALSE,587295,31964956
31,Malawi,MWI,Lilongwe,Eastern Africa,-13.254308,34.301525,TRUE,118480,21655286
32,Mali,MLI,Bamako,Western Africa,17.570692,-3.996166,TRUE,1240190,24478595
33,Mauritania,MRT,Nouakchott,Western Africa,21.00789,-10.940835,FALSE,1030700,5169395
34,Mauritius,MUS,Port Louis,Eastern Africa,-20.348404,57.552152,FALSE,2010,1245779
35,Morocco,MAR,Rabat,Northern Africa,31.791702,-7.09262,FALSE,446550,38081173
36,Mozambique,MOZ,Maputo,Eastern Africa,-18.665695,35.529562,FALSE,799380,34631766
37,Namibia,NAM,Windhoek,Southern Africa,-22.95764,18.49041,FALSE,824290,3030131
38,Niger,NER,Niamey,Western Africa,17.607789,8.081666,TRUE,1267000,27032412
39,Nigeria,NGA,Abuja,Western Africa,9.081999,8.675277,FALSE,923770,232679478
40,Rwanda,RWA,Kigali,Eastern Africa,-1.940278,29.873888,TRUE,26338,14256567
41,Sao Tome and Principe,STP,Sao Tome,Central Africa,0.18636,6.613081,FALSE,960,235536
42,Senegal,SEN,Dakar,Western Africa,14.497401,-14.452362,FALSE,196710,18501984
43,Seychelles,SYC,Victoria,Eastern Africa,-4.679574,55.491977,FALSE,460,121354
44,Sierra Leone,SLE,Freetown,Western Africa,8.460555,-11.779889,FALSE,72300,8642022
45,Somalia,SOM,Mogadishu,Eastern Africa,5.152149,46.199616,FALSE,637660,19009151
46,South Africa,ZAF,Pretoria,Southern Africa,-30.559482,22.937506,FALSE,1219090,64007187
47,South Sudan,SSD,Juba,Eastern Africa,6.876991,31.306979,TRUE,646883,11943408
48,Sudan,SDN,Khartoum,Northern Africa,12.862807,30.217636,FALSE,1878000,50448963
49,Tanzania,TZA,Dodoma,Eastern Africa,-6.369028,34.888822,FALSE,947300,68560157
50,Togo,TGO,Lome,Western Africa,8.619543,0.824782,FALSE,56790,9515236
51,Tunisia,TUN,Tunis,Northern Africa,33.886917,9.537499,FALSE,163610,12277109
52,Uganda,UGA,Kampala,Eastern Africa,1.373333,32.290275,TRUE,241550,50015092
53,Zambia,ZMB,Lusaka,Eastern Africa,-13.133897,27.849332,TRUE,752610,21314956
54,Zimbabwe,ZWE,Harare,Eastern Africa,-19.015438,29.154857,TRUE,390760,16634373